name,url,affiliation
Tamim Asfour,http://www.humanoids.kit.edu,Karlsruhe Institute of Technology
Matteo Bianchi,http://www.centropiaggio.unipi.it/~bianchi,University of Pisa
David Braun,http://people.sutd.edu.sg/~david_braun/,Singapore University of Technology and Design
Katie Byl,http://robotics.ece.ucsb.edu/,"University of California, Santa Barbara"
Maya Cakmak,http://hcrlab.cs.washington.edu/,University of Washington
Andrea Censi,https://censi.science/,"ETH Zürich & nuTonomy, inc."
Han-Lim Choi,http://lics.kaist.ac.kr/wordpress/,Korea Advanced Institute of Science and Technology
Kostas Danilidis,http://www.cis.upenn.edu/~kostas/,University of Pennsylvania
Mehmet Dogar,http://www.personal.leeds.ac.uk/~scsmrd/,University of Leeds
Sami Haddadin,https://www.irt.uni-hannover.de/haddadin.html?&no_cache=1,The University of Hannover (Leibniz Universität Hannover)
Tucker Hermans,https://robot-learning.cs.utah.edu/,University of Utah
Ani Hsieh,http://manihsieh.com/,University of Pennsylvania
Seth Hutchinson,http://www-cvr.ai.uiuc.edu/~seth/,University of Illinois at Urbana-Champaign
Matt Johnson-Roberson,http://droplab.engin.umich.edu/,University of Michigan
Enkelejda Kasneci,http://www.ti.uni-tuebingen.de/Prof-Dr-Enkelejda-Kasneci.956.0.html,University of Tübingen (Eberhard Karls Universität Tübingen)
Jonathan Kelly,http://stars.utias.utoronto.ca/~jkelly/index.php,University of Toronto Institute for Aerospace Studies
Jens Kober,http://www.jenskober.de/,Delft University of Technology
Dana Kulic,https://ece.uwaterloo.ca/~dkulic/,University of Waterloo
Hanna Kurniawati,http://robotics.itee.uq.edu.au/~hannakur/dokuwiki/doku.php?id=wiki:welcome,University of Queensland
Daniel Lee,https://www.grasp.upenn.edu/,University of Pennsylvania
Huaping Liu,https://sites.google.com/site/thuliuhuaping/,Tsinghua University
Jason O'Kane,https://www.cse.sc.edu/~jokane/,University of South Carolina
Marco Pavone,http://web.stanford.edu/~pavone/,Stanford University
Kirstin Petersen,http://cei.ece.cornell.edu/,Cornell University
JustusPiater,https://iis.uibk.ac.at/,University of Innsbruck
Laurel Riek,http://cseweb.ucsd.edu/~lriek/,"University of California, San Diego"
Elliott Rouse,https://neurobionics.engin.umich.edu/,University of Michigan
Koushil Sreenath,https://www.cmu.edu/me/people/koushil-sreenath.html,Carnegie Mellon University
Matt Walter,http://ttic.uchicago.edu/~mwalter/,Toyota Technological Institute at Chicago
Eiichi Yoshida,https://staff.aist.go.jp/e.yoshida/,National Institute of Advanced Industrial Science and Technology
