session_id,video_url,title,date,time,location,chair,papers

session_id,video_url,title,date,time,location,chair,papers
01,none,Spotlight Talks: Group 1,June 24,09:00 - 09:30,"none","none",0076 0208 0060 0108 0082
"02",none,"Spotlight Talks: Group 2",June 24,"09:30 - 10:00","none","none",0091 0219 0114 0006 0217
0,none,Refreshment Break,June 24,10:00 - 10:30,none,none,0
"03",none,"Spotlight Talks: Group 3",June 24,"10:30 - 11:00","none","none",0178 0032 0149 0169 0102
0,none,Keynote Presentation,June 24,11:00 - 12:00,none,none,0
0,none,Lunch Break,June 24,12:00 - 13:30,none,none,0

"04",none,"Spotlight Talks: Group 4",June 24,"13:30 - 14:00","none","none",0154 0193 0110 0135 0111
"05",none,"Spotlight Talks: Group 5",June 24,"14:00 - 14:30","none","none",0100 0125 0209 0077 0105
0,none,Refreshment Break,June 24,14:30 - 15:00,none,none,0
0,none,Early Career 1,June 24,15:00 - 15:30,none,none,0
0,none,Poster Session,June 24,15:30 - 17:00,none,none,0
"BSP",none,"Best System Paper Award Nominees",June 24,"17:00 – 17:30","none","none",0190 0030 0128 0179 0118
"BPA",none,"Best paper Award Nominees",June 24,"17:30-18:00","none","none",0121 0233 0120 0069 0291
0,none,Industry Reception,June 24,18:00 - 21:00,Messe Freiburg,none,0


"06",none,"Spotlight Talks: Group 6",June 25,"09:00 - 09:30","none","none",0079 0088 0181 0196 0123
"07",none,"Spotlight Talks: Group 7",June 25,"09:30 - 10:00","none","none",0238 0033 0109 0230 0160
0,none,Refreshment Break,June 25,10:00 - 10:30,none,none,0
"08",none,"Spotlight Talks: Group 8",June 25,"10:30 - 11:00","none","none",0248 0045 0229 0150 0137
0,none,Keynote Presentation,June 25,11:00 - 12:00,none,none,0
0,none,Lunch Break,June 25,12:00 - 13:30,none,none,0

"09",none,"Spotlight Talks: Group 9",June 25,"13:30 - 14:00","none","none",0197 0158 0007 0151 0186
"10",none,"Spotlight Talks: Group 10",June 25,"14:00 - 14:30","none","none",0104 0206 0173 0211 0204
0,none,Refreshment Break,June 25,14:30 - 15:00,none,none,0
0,none,Keynote Presentation,June 25,15:00 - 16:00,none,none,0
0,none,Poster Session,June 25,16:00 - 17:30,none,none,0
0,none,Break,June 25,17:30 - 19:00,none,none,0
0,none,Banquet,June 25,19:00 - ,Konzerthaus Freiburg,none,0


"11",none,"Spotlight Talks: Group 11",June 26,"09:00 - 09:30","none","none",0117 0093 0166 0096 0279
"12",none,"Spotlight Talks: Group 12",June 26,"09:30 - 10:00","none","none",0146 0152 0172 0059 0031
0,none,Refreshment Break,June 26,10:00 - 10:30,none,none,0
"13",none,"Spotlight Talks: Group 13",June 26,"10:30 - 11:00","none","none",0013 0141 0175 0281 0285
0,none,Keynote Presentation,June 26,11:00 - 12:00,none,none,0
0,none,Lunch Break,June 26,12:00 - 13:30,none,none,0

"14",none,"Spotlight Talks: Group 14",June 26,"13:30 - 14:00","none","none",0145 0205 0235 0174 0251
"15",none,"Spotlight Talks: Group 15",June 26,"14:00 - 14:30","none","none",0140 0080 0119 0063 0047
0,none,Refreshment Break,June 26,14:30 - 15:00,none,none,0
0,none,Early Career 2,June 26,15:00 - 15:30,none,none,0
0,none,Poster Session,June 26,15:30 - 17:00,none,none,0
0,none,Awards/Closing,June 26,17:00 - 17:30,none,none,0
