FirstName,LastName,Organization
Henny,Admoni,CMU
Ali-akbar,Agha-mohammdi,JPL
Kaveh,Akbari Hamed,San Diego State University
Srinivas,Akella,"Univ. of North Carolina, Charlotte"
Derya,Aksaray,MIT
Eren,Aksoy,KIT
Alex,Alahi,Stanford
Yiannis,Aloimonos,University of Maryland
Javier,Alonso-Mora,Delft University of Technology
Ron,Alterovitz,Univ. of North Carolina
Kaspar,Althoefer,
Christopher,Amato,Northeastern University
Nancy,Amato,Texas A&M
Aaron,Ames,Caltech
Francesco,Amigoni,Politecnico di Milano
Antonis,Argyros,
Tamim,Asfour,KIT
Nikolay,Atanasov,University of Pennsylvania
Dan,Aukes,ASU
Ravi,Balasubramanian,Oregon State University
Ashis,Banerjee,U. Washington
Sven,Behnke,U Bonn
Heni,Ben Amor,Arizona State University
Dmitry,Berenson,U Michigan
Sourabh,Bhattacharya,Iowa State
Pranav,Bhounsule,UT San Antonio
Antonio,Bicchi,U. Pisa
Aude,Billard,EPFL
Ma&#778;rten,Bjo&#776;rkman,KTH
Isil,Bozma,Bogazici University
David,Bradley,Uber
Mireille,Broucke,U Toronto
Wolfram,Burgard,Uni Freiburg
Katie,Byl,
Maya,Cakmak,U of Washington
Berk,Calli,Yale University
Luca,Carlone,MIT
Raffaela,Carloni,University of Twente
Tom,Carlson,University College London
Stefano,Carpin,UC Merced
Jose,Castellanos,University of Zaragoza
Andrea,Censi,MIT
Nilanjan,Chakraborty,Stony Brook University
Sonia,Chernova,Georgia Tech
Andrea,Cherubini,U. Montpelier
Margarita,Chli,ETH Zurich
Howie,Choset,CMU
Sanjiban,Choudhury,CMU
Girish,Chowdhary,UIUC
Ed,Colgate,Northwestern
Peter,Corke,Queensland University of Technology
Nikolaus,Correll,U Colorado Boulder
Jorge,Cortes,UCSD
Raffaello,D'Andrea,ETH Zurich
Andrew,Davison,Imperial College London
Gerardo,de la Torre,Northwestern University
Alessandro,De Luca,Sapienza University of Rome
Marc,Deisenroth,Imperial College London
Robin,Deits,MIT
Vishnu,Desaraju,CMU
Ashish,Deshpande,University of Texas at Austin
Renaud,Detry,Jet Propulsion Laboratory
Carrick,Detweiler,UNL
Donato,Di Paola,ISSIA-CNR
Anca,Dragan,"U of California, Berkeley"
Tom,Duckett,Lincoln U.
Ahmetcan,Erdogan,Northwestern
Ozgur,Erkent,U. Innsbruck
Adrien,Escande,JRL-CNRS
Maurice,Fallon,U of Edinburgh
Dave,Feil-Seifer,"U of Nevada, Reno"
Ozan,Fener,Stanford
Rafael,Fierro,University of New Mexico
Roy,Fox,UC Berkeley
Antonio,Franchi,LAAS
Marco,Gabiccini,University of Pisa
Philippe,Giguere,U. Laval
Maria,Gini,U Minnesota
Matthew,Gombolay,MIT
Nakul,Gopalan,Brown University
Cle&#769;ment,Gosselin,Laval University
Roderich,Gross,The University of Sheffield
Abhinav,Gupta,CMU
Dan,Halperin,Tel Aviv University
Kaiyu,Hang,KTH
Simon,Hangl,U. Innsbruck
Kensuke,Harada,Osaka U
Ross,Hatton,Oregon State University
Kris,Hauser,Duke
Karol,Hausman,USC
Nick,Hawes,University of Birmingham
Brad,Hayes,MIT
Christoffer,Heckman,U. Colorado Boulder
David,Held,UC Berkeley
Mohamed,Helwa,U Toronto
Sachi,Hemachandra,MIT
Ayonga,Hereid,Georgia Tech
Sandra,Hirche,TU Munich
Geoffrey,Hollinger,Oregon State University
Naira,Hovakimyan,UIUC
Jonathan,How,MIT
Ayanna,Howard,Georgia Tech
Thomas,Howard,University of Rochester
David,Hsu,National University of Singapore
Guoquan (Paul),Huang,U. Delaware
Christian,Hubicki,Georgia Tech
Auke,Ijspeert,EPFL
Anthony,Jarc,Intuitive Surgical
Aaron,Johnson,CMU
Matthew,Johnson-Roberson,University of Michigan
Colin,Jones,EPFL
Wendy,Ju,Stanford University
Malte,Jung,Cornell University
Leslie,Kaelbling,MIT
Marcelo,Kallmann,UC Merced
Takayuki,Kanda,ATR
Sertac,Karaman,MIT
Konstantinos,Karydis,"University of California, Riverside"
Young J.,Kim,Ewha Womans University
Hedvig,Kjellstrom,KTH
Ross,Knepper,Cornell University
Jens,Kober,TU Delft
Mykel,Kochenderfer,Stanford
Shishir,Kolathaya,Georgia Tech
Taku,Komura,Edinburgh U
George,Konidaris,Brown University
Petar,Kormushev,Imperial College London
Jana,Kosecka,George Mason University
Mirko,Kovac,Imperial College London
Michael,Koval,Berkshire Grey
Norbert,Kr&#240;ger,U. of Southern Denmark
Torsten,Kroeger,Google
Katherine,Kuchenbecker,University of Pennsylvania & MPI for Intelligent Systems
Scott,Kuindersma,Harvard
Tomas,Kulvicius,University of Goettingen
Andras,Kupcsik,National University of Singapore
Ville,Kyrki,Aalto University
Florent,Lamiraux,LAAS
Amy,LaViers,U. Illinois
Jerome,Le Ny,Polytechnique Montreal
Dongjun,Lee,Seoul National University
Gilwoo,Lee,CMU
Jinoh,Lee,IIT
Min Kyung,Lee,CMU
Iolanda,Leite,Disney Research
Tommaso,Lenzi,Rehabilitation Institute of Chicago
John,Leonard,MIT
Vincent,Lepetit,
