id,session,title,authors
63,01A,Safe Visual Navigation via Deep Learning and Novelty Detection,"Charles Richter, Nicholas Roy"
13,01B,CAD2RL: Real Single-Image Flight Without a Single Real Image,"Fereshteh Sadeghi, Sergey Levine"
57,01C,Provably Safe Robot Navigation with Obstacle Uncertainty,"Brian Axelrod, Leslie Kaelbling, Tomas Lozano-Perez"
70,01D,Trajectory Optimization for Self-Calibration and Navigation,"James Preiss, Karol Hausman, Gaurav Sukhatme, Stephan Weiss"
75,02A,XPose: Reinventing User Interaction with Flying Cameras,"Ziquan Lan, Mohit Shridhar, David Hsu, Shengdong Zhao"
06,02B,An Inductance-Based Sensing System for Bellows-Driven Continuum Joints in Soft Robots,"Wyatt Felt, Maria Telleria, Thomas Allen, Gabriel Hein, Jonathan Pompa, Kevin Albert, David Remy"
23,02C,Dynamic Walking on Randomly-Varying Discrete Terrain with One-step Preview,"Quan Nguyen, Ayush Agrawal, Xingye Da, William Martin, Hartmut Geyer, Jessy Grizzle, Koushil Sreenath"
01,03A,A Fast Stochastic Contact Model for Planar Pushing and Grasping: Theory and Experimental Validation,"Jiaji Zhou, James Bagnell, Matthew Mason"
25,03B,Efficient Equilibrium Testing under Adhesion and Anisotropy using Empirical Contact Force Models,"Kris Hauser, Shiquan Wang, Mark Cutkosky"
29,03C,"Exact Bounds on the Contact Driven Motion of a Sliding   Object, With Applications to Robotic Pulling","Eric Huang, Ankit Bhatia, Byron Boots, Matthew Mason"
19,03D,Dex-Net 2.0: Deep Learning to Plan Robust Grasps with Synthetic Point Clouds and Analytic Grasp Metrics,"Jeffrey Mahler, Jacky Liang, Sherdil Niyaz, Michael Laskey, Richard Doan, Xinyu Liu, Juan Aparicio, Ken Goldberg"
72,04A,Underactuated tendon-driven robotic/prosthetic hands: design issues,"Annick Mottard, Laval, Thierry Lalibert&#233;, Laval, Cl&#233;ment Gosselin"
18,04B,Design of a Partially-Coupled Self-Adaptive Robotic Finger Optimized for Collaborative Robots,Lionel Birglen
54,04C,Optimal Shape and Motion Planning for Dynamic Planar Manipulation,"Orion Taylor, Alberto Rodriguez"
59,04D,Relaxed-Rigidity Constraints: In-Grasp Manipulation using Purely Kinematic Trajectory Optimization,"Balakumar Sundaralingam, Tucker Hermans"
17,05A,Deformable Rapidly-Exploring Random Trees,"Florian Hauer, Panagiotis Tsiotras"
15,05B,Comprehensive Theory of Differential Kinematics and Dynamics for Motion Optimization,"Ko Ayusawa, Eiichi Yoshida"
20,05C,DIRTREL: Robust Trajectory Optimization with Ellipsoidal Disturbances and LQR Feedback,"Zachary Manchester, Scott Kuindersma"
28,05D,Evaluating Trajectory Collision Probability through Adaptive Importance Sampling for Safe Motion Planning,"Edward Schmerling, Marco Pavone"
52,06A,Mode Switch Assistance To Maximize Human Intent Disambiguation,"Deepak Edakkattil Gopinath, Brenna Argall"
27,06B,Enabling Robots to Communicate Their Objectives,"Sandy Huang, David Held, Pieter Abbeel, Anca Dragan"
43,06C,Intention-Aware Motion Planning Using Learning Based Human Motion Prediction,"Jae Sung Park, Chonhyon Park, Dinesh Manocha"
04,06D,Active Preference-Based Learning of Reward Functions,"Dorsa Sadigh, Anca Dragan, Shankar Sastry, Sanjit Seshia"
03,07A,Accurately and Efficiently Interpreting Human-Robot Instructions of Varying Granularities,"Dilip Arumugam, Siddharth Karamcheti, Nakul Gopalan, Lawson Wong, Stefanie Tellex"
60,07B,Resolution of Referential Ambiguity in Human-Robot Dialogue Using Dempster-Shafer Theoretic Pragmatics,"Tom Williams, Matthias Scheutz"
37,07C,Groups of humans and robots: Understanding membership preferences and team formation,"Filipa Correia, Sofia Petisca, Patr&#237;cia Alves-Oliveira, Tiago Ribeiro, Francisco Melo, Ana Paiva"
66,07D,Supernumerary Robotic Limbs for Human Augmentation in Overhead Assembly Tasks,"Zack Bright, H. Harry Asada"
64,08A,Sample-Based Methods for Factored Task and Motion Planning,"Caelan Garrett, Tomas Lozano-Perez, Leslie Kaelbling"
36,08B,Geometry of 3D Environments and Sum of Squares Polynomials,"Amir Ali Ahmadi, Georgina Hall, Ameesh Makadia, Vikas Sindhwani"
10,08C,Bayesian Eigenobjects: A Unified Framework for 3D Robot Perception,"Benjamin Burchfiel, George Konidaris"
67,08D,Synthesizing Training Data for Object Detection in Indoor Scenes,"Georgios Georgakis, Arsalan Mousavian, Alexander Berg, Jana Kosecka"
21,09A,Discovering Action Primitive Granularity from Human Motion for Human-Robot Collaboration,"Elena Corina Grigore, Brian Scassellati"
