benefactor_name,image,width,support_level,url
"Bosch","bosch.png","50%",banquet,https://www.bosch.com/research/
"TRI","tri.png","50%",patron,http://www.tri.global/
"Lyft","lyft.png","20%",benefactor,https://www.lyft.com
"MERL","merl.jpg","50%",benefactor,http://www.merl.com
"ouster","ouster.png","20%",benefactor,http://www.ouster.io/
"DeepMind","deepmind.png","50%",sponsor,https://deepmind.com/
"Lockheed","lockheed.jpg","80%",benefactor,https://www.lockheedmartin.com/en-us/index.html
"SICK","sick.png","30%",benefactor,https://www.sick.com/de/en/
"iRobot","irobot.png","30%",benefactor,https://www.irobot.com
"Samsung","samsung.png","30%",sponsor,https://www.samsung.com
"Springer","springer.jpg","30%",sponsor,https://www.springer.com
"Nuro","nuro.png","20%",sponsor,https://nuro.ai/
"K&auml;rcher","kaercher.png","30%",sponsor,https://www.kaercher.com
"Siemens","siemens_large.png","30%",patron,https://new.siemens.com/
"Waymo","waymo.png","20%",benefactor,https://waymo.com/
"KUKA","kuka.png","50%",benefactor,https://kuka.com/
"amazonrobotics","amazon.png","50%",sponsor,https://www.amazonrobotics.com/#/
